created_at,entry_id,Temperature,Humidity
2024-03-06 10:02:12 UTC,66,24.1,35
2024-03-06 10:02:35 UTC,67,24.1,35
2024-03-06 10:02:57 UTC,68,24.2,35
2024-03-06 10:03:21 UTC,69,24.1,36
2024-03-06 10:03:45 UTC,70,24,36
2024-03-06 10:04:08 UTC,71,24,36
2024-03-06 10:04:30 UTC,72,24.1,36
2024-03-06 10:04:52 UTC,73,24.1,35
2024-03-06 10:05:17 UTC,74,24.1,35
2024-03-06 10:05:39 UTC,75,24.1,35
2024-03-06 10:06:02 UTC,76,24.1,35
2024-03-06 10:06:24 UTC,77,24.1,35
2024-03-06 10:06:46 UTC,78,24.1,35
2024-03-06 10:07:10 UTC,79,24.1,35
2024-03-06 10:07:34 UTC,80,24.1,35
2024-03-06 10:07:57 UTC,81,24.1,35
2024-03-06 10:08:21 UTC,82,24,35
2024-03-06 10:08:44 UTC,83,24,36
2024-03-06 10:09:07 UTC,84,24,36
2024-03-06 10:09:30 UTC,85,24,36
2024-03-06 10:09:53 UTC,86,23.9,36
2024-03-06 10:10:18 UTC,87,23.9,36
2024-03-06 10:10:41 UTC,88,24,36
2024-03-06 10:11:04 UTC,89,24,36
2024-03-06 10:11:28 UTC,90,24,36
2024-03-06 10:11:52 UTC,91,24,36
2024-03-06 10:12:17 UTC,92,24,36
2024-03-06 10:12:40 UTC,93,24,36
2024-03-06 10:13:03 UTC,94,23.9,36
2024-03-06 10:13:25 UTC,95,24,36
2024-03-06 10:13:48 UTC,96,24,36
2024-03-06 10:14:11 UTC,97,24,36
2024-03-06 10:14:33 UTC,98,24,35
2024-03-06 10:14:55 UTC,99,24,35
2024-03-06 10:15:17 UTC,100,24,36
2024-03-06 10:15:39 UTC,101,24,36
2024-03-06 10:16:01 UTC,102,24,36
2024-03-06 10:16:24 UTC,103,23.9,36
2024-03-06 10:16:46 UTC,104,23.9,36
2024-03-06 10:17:08 UTC,105,23.9,36
2024-03-06 10:17:31 UTC,106,23.9,36
2024-03-06 10:17:54 UTC,107,23.9,36
2024-03-06 10:18:16 UTC,108,23.9,36
2024-03-06 10:18:40 UTC,109,23.9,36
2024-03-06 10:19:03 UTC,110,23.9,36
2024-03-06 10:19:25 UTC,111,23.8,36
2024-03-06 10:19:48 UTC,112,23.7,36
2024-03-06 10:20:11 UTC,113,23.8,36
2024-03-06 10:20:34 UTC,114,23.8,36
2024-03-06 10:20:57 UTC,115,23.9,36
2024-03-06 10:21:22 UTC,116,23.9,36
2024-03-06 10:21:45 UTC,117,23.8,37
2024-03-06 10:22:07 UTC,118,23.9,36
2024-03-06 10:22:29 UTC,119,23.9,36
2024-03-06 10:22:52 UTC,120,23.9,36
2024-03-06 10:23:15 UTC,121,23.9,37
2024-03-06 10:23:38 UTC,122,23.9,36
2024-03-06 10:24:01 UTC,123,23.9,36
2024-03-06 10:24:24 UTC,124,23.9,37
2024-03-06 10:24:46 UTC,125,23.9,37
2024-03-06 10:25:09 UTC,126,23.8,37
2024-03-06 10:25:32 UTC,127,23.8,37
2024-03-06 10:25:55 UTC,128,23.9,37
2024-03-06 10:26:19 UTC,129,23.9,37
2024-03-06 10:26:42 UTC,130,23.8,37
2024-03-06 10:27:04 UTC,131,23.9,36
2024-03-06 10:27:27 UTC,132,23.9,36
2024-03-06 10:27:49 UTC,133,23.8,37
2024-03-06 10:28:11 UTC,134,23.8,37
2024-03-06 10:28:34 UTC,135,23.9,36
2024-03-06 10:28:56 UTC,136,23.8,36
2024-03-06 10:29:18 UTC,137,23.8,36
2024-03-06 10:29:41 UTC,138,23.7,37
2024-03-06 10:30:05 UTC,139,23.7,37
2024-03-06 10:30:28 UTC,140,23.7,37
2024-03-06 10:30:53 UTC,141,23.7,37
2024-03-06 10:31:16 UTC,142,23.7,37
2024-03-06 10:31:39 UTC,143,23.7,37
2024-03-06 10:32:04 UTC,144,23.7,37
2024-03-06 10:32:32 UTC,145,23.6,37
2024-03-06 10:32:54 UTC,146,23.6,37
2024-03-06 10:33:18 UTC,147,23.6,37
2024-03-06 10:33:40 UTC,148,23.6,37
2024-03-06 10:34:07 UTC,149,23.6,38
2024-03-06 10:34:30 UTC,150,23.5,38
2024-03-06 10:34:55 UTC,151,23.5,38
2024-03-06 10:35:17 UTC,152,23.5,38
2024-03-06 10:35:40 UTC,153,23.5,38
2024-03-06 10:36:03 UTC,154,23.6,38
2024-03-06 10:36:26 UTC,155,23.6,38
2024-03-06 10:36:48 UTC,156,23.6,38
2024-03-06 10:37:10 UTC,157,23.6,38
2024-03-06 10:37:40 UTC,158,23.6,38
2024-03-06 10:38:03 UTC,159,23.6,39
2024-03-06 10:38:26 UTC,160,23.6,39
2024-03-06 10:38:48 UTC,161,23.6,39
2024-03-06 10:39:13 UTC,162,23.6,39
2024-03-06 10:39:36 UTC,163,23.6,39
2024-03-06 10:39:59 UTC,164,23.6,39
2024-03-06 10:40:21 UTC,165,23.6,38
